start_sec,duration,text
1.79,0.010000000000000009,en vrai ça sert à rien de chercher à
1.8,1.6699999999999997,en vrai ça sert à rien de chercher à éliminer<00:00:02.200><c> à</c><00:00:02.320><c> tout</c><00:00:02.480><c> prix</c><00:00:02.720><c> l'aboiement</c><00:00:03.320><c> parce</c>
3.4699999999999998,0.010000000000000231,éliminer à tout prix l'aboiement parce
3.48,1.4300000000000002,éliminer à tout prix l'aboiement parce que<00:00:03.560><c> c'est</c><00:00:03.719><c> vraiment</c><00:00:04.080><c> un</c><00:00:04.240><c> comportement</c>
4.91,0.009999999999999787,que c'est vraiment un comportement
4.92,1.8689999999999998,que c'est vraiment un comportement normal<00:00:05.319><c> naturel</c><00:00:05.640><c> et</c><00:00:05.920><c> sain</c><00:00:06.279><c> l'aboiement</c>
6.789,0.010000000000000675,normal naturel et sain l'aboiement
6.799,1.8299999999999992,normal naturel et sain l'aboiement naturel<00:00:07.359><c> du</c><00:00:07.520><c> chien</c><00:00:07.720><c> donc</c><00:00:08.080><c> ça</c><00:00:08.160><c> veut</c><00:00:08.280><c> dire</c><00:00:08.400><c> celui</c>
8.629,0.009999999999999787,naturel du chien donc ça veut dire celui
8.639,1.9100000000000001,naturel du chien donc ça veut dire celui qui<00:00:08.760><c> n'a</c><00:00:08.960><c> pas</c><00:00:09.040><c> été</c><00:00:09.240><c> mis</c><00:00:09.400><c> sous</c><00:00:09.559><c> signal</c><00:00:10.080><c> gestuel</c>
10.549,0.009999999999999787,qui n'a pas été mis sous signal gestuel
10.559,3.2300000000000004,qui n'a pas été mis sous signal gestuel vocal<00:00:11.040><c> ou</c><00:00:11.320><c> contextuel</c><00:00:12.320><c> en</c><00:00:12.440><c> fait</c><00:00:12.840><c> il</c><00:00:13.000><c> est</c><00:00:13.320><c> dû</c><00:00:13.679><c> la</c>
13.789,0.009999999999999787,vocal ou contextuel en fait il est dû la
13.799,1.511000000000001,vocal ou contextuel en fait il est dû la plupart<00:00:14.080><c> du</c><00:00:14.200><c> temps</c><00:00:14.400><c> à</c><00:00:14.559><c> un</c><00:00:14.719><c> stress</c><00:00:15.080><c> que</c><00:00:15.200><c> le</c>
15.31,0.009999999999999787,plupart du temps à un stress que le
15.32,1.5899999999999999,plupart du temps à un stress que le chien<00:00:15.519><c> va</c><00:00:15.639><c> vivre</c><00:00:16.039><c> dans</c><00:00:16.119><c> son</c><00:00:16.279><c> corps</c><00:00:16.480><c> et</c><00:00:16.680><c> qu'il</c>
16.91,0.010000000000001563,chien va vivre dans son corps et qu'il
16.92,2.2689999999999984,chien va vivre dans son corps et qu'il va<00:00:17.080><c> essayer</c><00:00:17.359><c> de</c><00:00:17.640><c> décharger</c><00:00:18.480><c> ce</c><00:00:18.640><c> stress</c><00:00:19.000><c> il</c>
19.189,0.010000000000001563,va essayer de décharger ce stress il
19.199,1.5109999999999992,va essayer de décharger ce stress il peut<00:00:19.400><c> être</c><00:00:19.560><c> associé</c><00:00:19.960><c> à</c><00:00:20.080><c> des</c><00:00:20.199><c> émotions</c>
20.71,0.00999999999999801,peut être associé à des émotions
20.72,2.1099999999999994,peut être associé à des émotions positives<00:00:21.519><c> ou</c><00:00:21.640><c> négatives</c><00:00:22.240><c> un</c><00:00:22.400><c> chien</c><00:00:22.680><c> peut</c>
22.83,0.010000000000001563,positives ou négatives un chien peut
22.84,1.9899999999999984,positives ou négatives un chien peut aboyer<00:00:23.400><c> parce</c><00:00:23.599><c> que</c><00:00:23.720><c> il</c><00:00:23.840><c> est</c><00:00:24.119><c> super</c><00:00:24.359><c> excité</c>
24.83,0.010000000000001563,aboyer parce que il est super excité
24.84,1.7100000000000009,aboyer parce que il est super excité qu'il<00:00:25.160><c> a</c><00:00:25.279><c> envie</c><00:00:25.480><c> de</c><00:00:25.560><c> jouer</c><00:00:25.760><c> qu'il</c><00:00:26.039><c> est</c><00:00:26.320><c> très</c>
26.55,0.00999999999999801,qu'il a envie de jouer qu'il est très
26.56,2.3100000000000023,qu'il a envie de jouer qu'il est très content<00:00:27.160><c> mais</c><00:00:27.320><c> aussi</c><00:00:27.480><c> parce</c><00:00:27.760><c> qu'il</c><00:00:27.960><c> a</c><00:00:28.119><c> peur</c><00:00:28.519><c> ou</c>
28.87,0.00999999999999801,content mais aussi parce qu'il a peur ou
28.88,1.5899999999999999,content mais aussi parce qu'il a peur ou parce<00:00:29.080><c> que</c><00:00:29.240><c> il</c><00:00:29.400><c> est</c><00:00:29.599><c> hyper</c><00:00:30.160><c> vénère</c>
30.47,0.010000000000001563,parce que il est hyper vénère
30.48,1.788999999999998,parce que il est hyper vénère l'aboiement<00:00:31.080><c> c'est</c><00:00:31.199><c> une</c><00:00:31.279><c> décharge</c><00:00:32.000><c> très</c>
32.269,0.010000000000005116,l'aboiement c'est une décharge très
32.279,1.4299999999999997,l'aboiement c'est une décharge très efficace<00:00:32.840><c> qui</c><00:00:32.960><c> peut</c><00:00:33.160><c> être</c><00:00:33.320><c> comparée</c><00:00:33.680><c> par</c>
33.709,0.00999999999999801,efficace qui peut être comparée par
33.719,1.4309999999999974,efficace qui peut être comparée par exemple<00:00:34.000><c> chez</c><00:00:34.160><c> nous</c><00:00:34.360><c> chez</c><00:00:34.480><c> les</c><00:00:34.600><c> humains</c><00:00:34.960><c> au</c>
35.15,0.00999999999999801,exemple chez nous chez les humains au
35.16,1.909000000000006,exemple chez nous chez les humains au cri<00:00:35.559><c> ou</c><00:00:35.640><c> au</c><00:00:35.840><c> chant</c><00:00:36.280><c> quand</c><00:00:36.520><c> on</c><00:00:36.640><c> est</c><00:00:36.840><c> super</c>
37.069,0.00999999999999801,cri ou au chant quand on est super
